,User,Date,Tweet,Tweets Ago,Positive,Negative,Neutral,Compound
406,nytimes,Mon Apr 23 22:23:05 +0000 2018,"A Senate panel endorsed Mike Pompeo as secretary of state after Rand Paul changed his mind, avoiding a major rebuke… https://t.co/6H0ezps2AD",7,0.093,0.794,0.112,-0.1027
407,nytimes,Mon Apr 23 22:14:04 +0000 2018,10 treasures from the New York Philharmonic's archives https://t.co/FhMrvXre5B,8,0.259,0.741,0.0,0.4215
408,nytimes,Mon Apr 23 21:58:03 +0000 2018,Breaking News: 9 people were killed and 16 injured when a man driving a van plowed down pedestrians on a Toronto st… https://t.co/VKZSisF9b2,9,0.0,0.702,0.298,-0.802
409,nytimes,Mon Apr 23 21:47:03 +0000 2018,"RT @nytgraphics: A man drove a white van onto the sidewalk along Toronto’s main road and struck multiple people:
https://t.co/Oy0rWoVise ht…",10,0.0,0.9,0.1,-0.25
410,nytimes,Mon Apr 23 21:32:02 +0000 2018,One NYT reader's reaction to the unarmed man who wrested a rifle away from the Waffle House gunman… https://t.co/jguzTHcISC,11,0.0,1.0,0.0,0.0
411,nytimes,Mon Apr 23 21:21:05 +0000 2018,"RT @katierogers: Melania Trump's media-shy East Wing staffers speak about their boss, who, amid constant craziness swirling around the Whit…",12,0.0,0.88,0.12,-0.3818
412,nytimes,Mon Apr 23 21:11:46 +0000 2018,"Nearly 3 months after they won their first Super Bowl title, the Philadelphia Eagles have not announced details of… https://t.co/wt20znA4Cf",13,0.309,0.691,0.0,0.8225
413,nytimes,Mon Apr 23 21:06:03 +0000 2018,New York Gov. Andrew Cuomo introduced a bill to ban single-use plastic bags by next year. There are some exemptions… https://t.co/tdlsjpmQo0,14,0.0,0.841,0.159,-0.5574
414,nytimes,Mon Apr 23 20:55:08 +0000 2018,"Europe’s efforts to stifle migration are being aided by nations with dubious human rights records, such as Sudan an… https://t.co/UeeTHyTqmu",15,0.0,0.884,0.116,-0.3612
415,nytimes,Mon Apr 23 20:43:05 +0000 2018,"RT @NYTSports: In a private meeting with players and league officials, the owner of the Eagles referred to Mr. Trump's tenure as ""one disas…",16,0.0,1.0,0.0,0.0
416,nytimes,Mon Apr 23 20:32:07 +0000 2018,"Except for 3 brief trips to India, he has sold newspapers outside the 86th Street subway station every night and mo… https://t.co/m7vZk5arcK",17,0.0,1.0,0.0,0.0
417,nytimes,Mon Apr 23 20:22:05 +0000 2018,RT @TheSteinLine: Appetizer for Game 4 of Rockets/Wolves from Sports Monday in the @nytimes: The story of Minnesota’s first home playoff ga…,18,0.0,1.0,0.0,0.0
418,nytimes,Mon Apr 23 20:12:03 +0000 2018,"Across the U.S., small craft distillers have been on a spending spree since the start of 2018 https://t.co/HCZj2DBsEu",19,0.0,1.0,0.0,0.0
419,nytimes,Mon Apr 23 20:02:07 +0000 2018,"""The Handmaid's Tale"" returns for Season 2 on Wednesday. Here's @poniewozik's review. https://t.co/9h0C1UR6zc",20,0.0,1.0,0.0,0.0
420,nytimes,Mon Apr 23 23:47:05 +0000 2018,The conventional wisdom is that regulation is needed to force Silicon Valley to respect online privacy. But new rul… https://t.co/sGeIs2CycL,21,0.265,0.735,0.0,0.7579
421,nytimes,Mon Apr 23 23:32:02 +0000 2018,Prince’s family has filed a lawsuit against the Illinois hospital that treated him for an opioid overdose the week… https://t.co/9k5poxe7SY,22,0.0,0.905,0.095,-0.2263
422,nytimes,Mon Apr 23 23:17:06 +0000 2018,"RT @NYTimesAtWar: In a 14-hour operation, a military veteran whose genitals were blown off by a bomb received an extraordinary transplant:…",23,0.0,0.842,0.158,-0.4939
423,nytimes,Mon Apr 23 23:02:05 +0000 2018,A scientist spent years studying a gene. Then she had a baby with an extremely rare disorder tied to it. https://t.co/IZYdEM1E7J,24,0.0,0.851,0.149,-0.4549
424,nytimes,Mon Apr 23 22:47:05 +0000 2018,Evening Briefing: Here's what you need to know at the end of the day https://t.co/dbBA26V8PX,25,0.0,1.0,0.0,0.0
425,nytimes,Mon Apr 23 22:36:02 +0000 2018,"The Nancy comic strip has been around since 1933. But in the past 2 weeks, Nancy has found a new voice. https://t.co/2Qw4dz5jaE",26,0.0,1.0,0.0,0.0
426,nytimes,Mon Apr 23 22:23:05 +0000 2018,"A Senate panel endorsed Mike Pompeo as secretary of state after Rand Paul changed his mind, avoiding a major rebuke… https://t.co/6H0ezps2AD",27,0.093,0.794,0.112,-0.1027
427,nytimes,Mon Apr 23 22:14:04 +0000 2018,10 treasures from the New York Philharmonic's archives https://t.co/FhMrvXre5B,28,0.259,0.741,0.0,0.4215
428,nytimes,Mon Apr 23 21:58:03 +0000 2018,Breaking News: 9 people were killed and 16 injured when a man driving a van plowed down pedestrians on a Toronto st… https://t.co/VKZSisF9b2,29,0.0,0.702,0.298,-0.802
429,nytimes,Mon Apr 23 21:47:03 +0000 2018,"RT @nytgraphics: A man drove a white van onto the sidewalk along Toronto’s main road and struck multiple people:
https://t.co/Oy0rWoVise ht…",30,0.0,0.9,0.1,-0.25
